draw,S,mae_or_nonnull,beta_NH-Black,se_NH-Black,OR_NH-Black,covered_NH-Black,flag_NH-Black,p_NH-Black,beta_NH-Asian,se_NH-Asian,OR_NH-Asian,covered_NH-Asian,flag_NH-Asian,p_NH-Asian,beta_NH-AmInd-AKNat,se_NH-AmInd-AKNat,OR_NH-AmInd-AKNat,covered_NH-AmInd-AKNat,flag_NH-AmInd-AKNat,p_NH-AmInd-AKNat,beta_Hispanic,se_Hispanic,OR_Hispanic,covered_Hispanic,flag_Hispanic,p_Hispanic,beta_NH-Other-Multi,se_NH-Other-Multi,OR_NH-Other-Multi,covered_NH-Other-Multi,flag_NH-Other-Multi,p_NH-Other-Multi
48,3,0.00692350402741615,-0.4902471090383563,0.013736450122693946,0.6124750273681019,True,True,5.751243955945077e-279,-0.1966461905386141,0.007536768245466581,0.8214812297331755,True,True,4.543177538878887e-150,-0.022965729214986488,0.04059736054598178,0.9772959758996577,True,False,0.5716010453277244,-0.3164347603608923,0.006738671494371193,0.7287425529101316,False,True,0.0,0.01967121349880505,0.015703642095782816,1.019865966733781,True,False,0.2103320380761362
49,3,0.006583987217498459,-0.48343056742692747,0.013736450122693946,0.6166642506644845,True,True,2.534661217277964e-271,-0.20106862938140652,0.007536768245466581,0.8178563006557736,True,True,8.392374844477172e-157,0.011445836741228413,0.04059736054598178,1.0115115909618053,True,False,0.777992975771215,-0.28826605765774727,0.006738671494371193,0.749562138960154,True,True,0.0,-0.014433278719210435,0.015703642095782816,0.9856703817287676,True,False,0.35804122872987465
50,3,0.002532322177746571,-0.5026715849690424,0.013736450122693946,0.6049124241083351,True,True,3.5636383817684637e-293,-0.19276478242417946,0.007536768245466581,0.8246759296003454,True,True,2.7799971978008834e-144,0.008243051426595479,0.04059736054598178,1.0082771189173634,True,False,0.8391006230774648,-0.30004529473704317,0.006738671494371193,0.7407846662751401,True,True,0.0,0.005083031726672252,0.015703642095782816,1.0050959722488437,True,False,0.7461766085500966
51,3,0.005018281096290729,-0.48288094645266605,0.013736450122693946,0.6170032754297533,True,True,1.0366127181917624e-270,-0.19522557794718368,0.007536768245466581,0.822649065636548,True,True,6.146899516568921e-148,-0.004736609186334071,0.04059736054598178,0.9952745908565716,True,False,0.907119317014455,-0.2991042098118293,0.006738671494371193,0.741482135694904,True,True,0.0,0.011477542781293124,0.015703642095782816,1.0115436624972622,True,False,0.4648499306888557
52,3,0.005521138296925317,-0.49460644846239665,0.013736450122693946,0.6098108520763756,True,True,6.533094688952455e-284,-0.2012198762706574,0.007536768245466581,0.8177326117884591,True,True,4.908627804171863e-157,0.011399616886222739,0.04059736054598178,1.0114648401231512,True,False,0.778866107825848,-0.2835528734478089,0.006738671494371193,0.7531033019192289,False,True,0.0,0.016096842496755356,0.015703642095782816,1.0162270946100338,True,False,0.30534487900797513
53,3,0.0030689746659398054,-0.5048491093282481,0.013736450122693946,0.6035966456593742,True,True,1.0598549923072325e-295,-0.19502025429993322,0.007536768245466581,0.822817992284836,True,True,1.2457239173895232e-147,-0.021446046474228767,0.04059736054598178,0.9787822847997913,True,False,0.59731744085154,-0.3029547077486209,0.006738671494371193,0.7386325499440118,True,True,0.0,0.02134001556093247,0.015703642095782816,1.0215693420649816,True,False,0.17417149158296374
54,3,0.00704200354864204,-0.5023388176945932,0.013736450122693946,0.6051137526629055,True,True,8.65073322690435e-293,-0.20989694118130584,0.007536768245466581,0.8106677881298331,True,True,1.0853556447823529e-170,0.03473686520653785,0.04059736054598178,1.035347237071411,True,False,0.3921950344949129,-0.3158455226570247,0.006738671494371193,0.7291720820336685,False,True,0.0,0.005332287887792432,0.015703642095782816,1.005346529837658,True,False,0.7341898633467487
55,3,0.005590253836113483,-0.4932510087801401,0.013736450122693946,0.6106379743344824,True,True,2.276290866814103e-282,-0.18787497387837537,0.007536768245466581,0.8287183121923752,True,True,3.7189095960156553e-137,-0.013927257656616478,0.04059736054598178,0.9861692779180418,True,False,0.7315546724148243,-0.30361860995618095,0.006738671494371193,0.7381423329096198,True,True,0.0,0.005275362598608969,0.015703642095782816,1.0052893018245934,True,False,0.7369218235505064
56,3,0.003967047829496306,-0.49858215530973055,0.013736450122693946,0.6073912359255328,True,True,1.8514448601339424e-288,-0.1994206821857905,0.007536768245466581,0.8192051958015729,True,True,2.8213342595134745e-154,-0.021730781365157926,0.04059736054598178,0.9785036310057968,True,False,0.5924592137350726,-0.28583798019063505,0.006738671494371193,0.7513843452337163,False,True,0.0,0.009605948593008142,0.015703642095782816,1.00965223380293,True,False,0.5407349672436346
57,3,0.003763084878867784,-0.49262395564409733,0.013736450122693946,0.6110209968664654,True,True,1.172757456678521e-281,-0.19442582148105475,0.007536768245466581,0.8233072477037462,True,True,9.587932274389117e-147,0.018698215621227886,0.04059736054598178,1.0188741219224344,True,False,0.645102026062581,-0.2970045338241015,0.006738671494371193,0.7430406435387249,True,True,0.0,0.01160435934212113,0.015703642095782816,1.0116719511200565,True,False,0.4599314423037617
